n,sigma_minus_n,factorization
2827,1.09515,"11 × 257"
2828,2.0198,"2^2 × 7 × 101"
2829,1.42524,"3 × 23 × 41"
2830,1.80636,"2 × 5 × 283"
2831,1.0597,"19 × 149"
2832,2.62712,"2^4 × 3 × 59"
2833,1.00035,"2833"
2834,1.6302,"2 × 13 × 109"
2835,2.04868,"3^4 × 5 × 7"
2836,1.75247,"2^2 × 709"
2837,1.00035,"2837"
2838,2.23256,"2 × 3 × 11 × 43"
2839,1.06516,"17 × 167"
2840,2.28169,"2^3 × 5 × 71"
2841,1.33474,"3 × 947"
2842,1.80507,"2 × 7^2 × 29"
2843,1.00035,"2843"
2844,2.55977,"2^2 × 3^2 × 79"
2845,1.20211,"5 × 569"
2846,1.50105,"2 × 1423"
2847,1.45557,"3 × 13 × 73"
2848,1.99087,"2^5 × 89"
2849,1.28045,"7 × 11 × 37"
2850,2.61053,"2 × 3 × 5^2 × 19"
2851,1.00035,"2851"
2852,1.88499,"2^2 × 23 × 31"
2853,1.449,"3^2 × 317"
2854,1.50105,"2 × 1427"
2855,1.2021,"5 × 571"
2856,3.02521,"2^3 × 3 × 7 × 17"
2857,1.00035,"2857"
2858,1.50105,"2 × 1429"
2859,1.33473,"3 × 953"
2860,2.46713,"2^2 × 5 × 11 × 13"
2861,1.00035,"2861"
2862,2.26415,"2 × 3^3 × 53"
2863,1.14565,"7 × 409"
2864,1.94832,"2^4 × 179"
2865,1.60838,"3 × 5 × 191"
2866,1.50105,"2 × 1433"
2867,1.03802,"47 × 61"
2868,2.3431,"2^2 × 3 × 239"
2869,1.0596,"19 × 151"
2870,2.10732,"2 × 5 × 7 × 41"
2871,1.63009,"3^2 × 11 × 29"
2872,1.88022,"2^3 × 359"
2873,1.14654,"13^2 × 17"
2874,2.00418,"2 × 3 × 479"
2875,1.30226,"5^3 × 23"
2876,1.75243,"2^2 × 719"
2877,1.53493,"3 × 7 × 137"
2878,1.50104,"2 × 1439"
2879,1.00035,"2879"
2880,3.43958,"2^6 × 3^2 × 5"
2881,1.03853,"43 × 67"
2882,1.64885,"2 × 11 × 131"
2883,1.37773,"3 × 31^2"
2884,2.01942,"2^2 × 7 × 103"
2885,1.20208,"5 × 577"
2886,2.21206,"2 × 3 × 13 × 37"
2887,1.00035,"2887"
2888,1.97888,"2^3 × 19^2"
2889,1.49533,"3^3 × 107"
2890,1.91211,"2 × 5 × 17^2"
2891,1.18298,"7^2 × 59"
2892,2.34302,"2^2 × 3 × 241"
2893,1.09506,"11 × 263"
2894,1.50104,"2 × 1447"
2895,1.60829,"3 × 5 × 193"
2896,1.9482,"2^4 × 181"
2897,1.00035,"2897"
2898,2.58385,"2 × 3^2 × 7 × 23"
2899,1.08175,"13 × 223"
2900,2.24483,"2^2 × 5^2 × 29"
2901,1.33471,"3 × 967"
2902,1.50103,"2 × 1451"
2903,1.00034,"2903"
2904,2.74793,"2^3 × 3 × 11^2"
2905,1.38795,"5 × 7 × 83"
2906,1.50103,"2 × 1453"
2907,1.60991,"3^2 × 17 × 19"
2908,1.75241,"2^2 × 727"
2909,1.00034,"2909"
2910,2.42474,"2 × 3 × 5 × 97"
2911,1.03882,"41 × 71"
2912,2.42308,"2^5 × 7 × 13"
2913,1.33471,"3 × 971"
2914,1.58133,"2 × 31 × 47"
2915,1.33379,"5 × 11 × 53"
2916,2.6238,"2^2 × 3^6"
2917,1.00034,"2917"
2918,1.50103,"2 × 1459"
2919,1.53477,"3 × 7 × 139"
2920,2.28082,"2^3 × 5 × 73"
2921,1.05169,"23 × 127"
2922,2.00411,"2 × 3 × 487"
2923,1.04003,"37 × 79"
2924,1.89603,"2^2 × 17 × 43"
2925,1.92889,"3^2 × 5^2 × 13"
2926,1.96856,"2 × 7 × 11 × 19"
2927,1.00034,"2927"
2928,2.62568,"2^4 × 3 × 61"
2929,1.04473,"29 × 101"
2930,1.80614,"2 × 5 × 293"
2931,1.3347,"3 × 977"
2932,1.75239,"2^2 × 733"
2933,1.14558,"7 × 419"
2934,2.17996,"2 × 3^2 × 163"
2935,1.20204,"5 × 587"
2936,1.88011,"2^3 × 367"
2937,1.47089,"3 × 11 × 89"
2938,1.62968,"2 × 13 × 113"
2939,1.00034,"2939"
2940,3.25714,"2^2 × 3 × 5 × 7^2"
2941,1.06494,"17 × 173"
2942,1.50102,"2 × 1471"
2943,1.49507,"3^3 × 109"
2944,2.0788,"2^7 × 23"
2945,1.3039,"5 × 19 × 31"
2946,2.00407,"2 × 3 × 491"
2947,1.14557,"7 × 421"
2948,1.93758,"2^2 × 11 × 67"
2949,1.33469,"3 × 983"
2950,1.89153,"2 × 5^2 × 59"
2951,1.08167,"13 × 227"
2952,2.77439,"2^3 × 3^2 × 41"
2953,1.00034,"2953"
2954,1.72241,"2 × 7 × 211"
2955,1.60812,"3 × 5 × 197"
2956,1.75237,"2^2 × 739"
2957,1.00034,"2957"
2958,2.19067,"2 × 3 × 17 × 29"
2959,1.09496,"11 × 269"
2960,2.38784,"2^4 × 5 × 37"
2961,1.68592,"3^2 × 7 × 47"
2962,1.50101,"2 × 1481"
2963,1.00034,"2963"
2964,2.64507,"2^2 × 3 × 13 × 19"
2965,1.20202,"5 × 593"
2966,1.50101,"2 × 1483"
2967,1.42366,"3 × 23 × 43"
2968,2.18329,"2^3 × 7 × 53"
2969,1.00034,"2969"
2970,2.90909,"2 × 3^3 × 5 × 11"
2971,1.00034,"2971"
2972,1.75236,"2^2 × 743"
2973,1.33468,"3 × 991"
2974,1.50101,"2 × 1487"
2975,1.5005,"5^2 × 7 × 17"
2976,2.70968,"2^5 × 3 × 31"
2977,1.08163,"13 × 229"
2978,1.50101,"2 × 1489"
2979,1.44881,"3^2 × 331"
2980,2.11409,"2^2 × 5 × 149"
2981,1.09493,"11 × 271"
2982,2.31791,"2 × 3 × 7 × 71"
2983,1.05934,"19 × 157"
2984,1.88003,"2^3 × 373"
2985,1.60804,"3 × 5 × 199"
2986,1.501,"2 × 1493"
2987,1.04453,"29 × 103"
2988,2.55823,"2^2 × 3^2 × 83"
2989,1.18234,"7^2 × 61"
2990,2.02274,"2 × 5 × 13 × 23"
2991,1.33467,"3 × 997"
2992,2.23797,"2^4 × 11 × 17"
2993,1.03842,"41 × 73"
2994,2.00401,"2 × 3 × 499"
2995,1.202,"5 × 599"
2996,2.01869,"2^2 × 7 × 107"
2997,1.5342,"3^4 × 37"
2998,1.501,"2 × 1499"
2999,1.00033,"2999"
3000,3.12,"2^3 × 3 × 5^3"
3001,1.00033,"3001"
3002,1.59893,"2 × 19 × 79"
3003,1.79021,"3 × 7 × 11 × 13"
3004,1.75233,"2^2 × 751"
3005,1.202,"5 × 601"
3006,2.17964,"2 × 3^2 × 167"
3007,1.0429,"31 × 97"
3008,2.0266,"2^6 × 47"
3009,1.43569,"3 × 17 × 59"
3010,2.10498,"2 × 5 × 7 × 43"
3011,1.00033,"3011"
3012,2.34263,"2^2 × 3 × 251"
3013,1.05144,"23 × 131"
3014,1.64831,"2 × 11 × 137"
3015,1.7592,"3^2 × 5 × 67"
3016,2.08886,"2^3 × 13 × 29"
3017,1.14551,"7 × 431"
3018,2.00398,"2 × 3 × 503"
3019,1.00033,"3019"
3020,2.11391,"2^2 × 5 × 151"
3021,1.42999,"3 × 19 × 53"
3022,1.50099,"2 × 1511"
3023,1.00033,"3023"
3024,3.28042,"2^4 × 3^3 × 7"
3025,1.36298,"5^2 × 11^2"
3026,1.60608,"2 × 17 × 89"
3027,1.33465,"3 × 1009"
3028,1.75231,"2^2 × 757"
3029,1.08155,"13 × 233"
3030,2.42376,"2 × 3 × 5 × 101"
3031,1.1455,"7 × 433"
3032,1.87995,"2^3 × 379"
3033,1.44873,"3^2 × 337"
3034,1.57811,"2 × 37 × 41"
3035,1.20198,"5 × 607"
3036,2.65613,"2^2 × 3 × 11 × 23"
3037,1.00033,"3037"
3038,1.80118,"2 × 7^2 × 31"
3039,1.33465,"3 × 1013"
3040,2.48684,"2^5 × 5 × 19"
3041,1.00033,"3041"
3042,2.34615,"2 × 3^2 × 13^2"
3043,1.06474,"17 × 179"
3044,1.7523,"2^2 × 761"
3045,1.89163,"3 × 5 × 7 × 29"
3046,1.50098,"2 × 1523"
3047,1.09485,"11 × 277"
3048,2.51969,"2^3 × 3 × 127"
3049,1.00033,"3049"
3050,1.89049,"2 × 5^2 × 61"
3051,1.49459,"3^3 × 113"
3052,2.01835,"2^2 × 7 × 109"
3053,1.03767,"43 × 71"
3054,2.00393,"2 × 3 × 509"
3055,1.3198,"5 × 13 × 47"
3056,1.94764,"2^4 × 191"
3057,1.33464,"3 × 1019"
3058,1.64814,"2 × 11 × 139"
3059,1.25531,"7 × 19 × 23"
3060,3.21176,"2^2 × 3^2 × 5 × 17"
3061,1.00033,"3061"
3062,1.50098,"2 × 1531"
3063,1.33464,"3 × 1021"
3064,1.8799,"2^3 × 383"
3065,1.20196,"5 × 613"
3066,2.31703,"2 × 3 × 7 × 73"
3067,1.00033,"3067"
3068,1.91656,"2^2 × 13 × 59"
3069,1.62659,"3^2 × 11 × 31"
3070,1.80586,"2 × 5 × 307"
3071,1.0394,"37 × 83"
3072,2.66536,"2^10 × 3"
3073,1.14546,"7 × 439"
3074,1.581,"2 × 29 × 53"
3075,1.69366,"3 × 5^2 × 41"
3076,1.75228,"2^2 × 769"
3077,1.06467,"17 × 181"
3078,2.35867,"2 × 3^4 × 19"
3079,1.00032,"3079"
3080,2.80519,"2^3 × 5 × 7 × 11"
3081,1.45407,"3 × 13 × 79"
3082,1.58858,"2 × 23 × 67"
3083,1.00032,"3083"
3084,2.34241,"2^2 × 3 × 257"
3085,1.20194,"5 × 617"
3086,1.50097,"2 × 1543"
3087,1.68448,"3^2 × 7^3"
3088,1.94754,"2^4 × 193"
3089,1.00032,"3089"
3090,2.4233,"2 × 3 × 5 × 103"
3091,1.09479,"11 × 281"
3092,1.75226,"2^2 × 773"
3093,1.33463,"3 × 1031"
3094,1.95475,"2 × 7 × 13 × 17"
3095,1.20194,"5 × 619"
3096,2.77132,"2^3 × 3^2 × 43"
3097,1.05909,"19 × 163"
3098,1.50097,"2 × 1549"
3099,1.33462,"3 × 1033"
3100,2.24,"2^2 × 5^2 × 31"
3101,1.14544,"7 × 443"
3102,2.22824,"2 × 3 × 11 × 47"
3103,1.04415,"29 × 107"
3104,1.98905,"2^5 × 97"
3105,1.85507,"3^3 × 5 × 23"
3106,1.50097,"2 × 1553"
3107,1.08143,"13 × 239"
3108,2.73874,"2^2 × 3 × 7 × 37"
3109,1.00032,"3109"
3110,1.80579,"2 × 5 × 311"
3111,1.43491,"3 × 17 × 61"
3112,1.87982,"2^3 × 389"
3113,1.09476,"11 × 283"
3114,2.17919,"2 × 3^2 × 173"
3115,1.38684,"5 × 7 × 89"
3116,1.88703,"2^2 × 19 × 41"
3117,1.33462,"3 × 1039"
3118,1.50096,"2 × 1559"
3119,1.00032,"3119"
3120,3.33846,"2^4 × 3 × 5 × 13"
3121,1.00032,"3121"
3122,1.72197,"2 × 7 × 223"
3123,1.44861,"3^2 × 347"
3124,1.93598,"2^2 × 11 × 71"
3125,1.24992,"5^5"
3126,2.00384,"2 × 3 × 521"
3127,1.03614,"53 × 59"
3128,2.07161,"2^3 × 17 × 23"
3129,1.53404,"3 × 7 × 149"
3130,1.80575,"2 × 5 × 313"
3131,1.04248,"31 × 101"
3132,2.68199,"2^2 × 3^3 × 29"
3133,1.08139,"13 × 241"
3134,1.50096,"2 × 1567"
3135,1.83732,"3 × 5 × 11 × 19"
3136,2.30835,"2^6 × 7^2"
3137,1.00032,"3137"
3138,2.00382,"2 × 3 × 523"
3139,1.03727,"43 × 73"
3140,2.11338,"2^2 × 5 × 157"
3141,1.44858,"3^2 × 349"
3142,1.50095,"2 × 1571"
3143,1.1454,"7 × 449"
3144,2.51908,"2^3 × 3 × 131"
3145,1.30493,"5 × 17 × 37"
3146,1.77559,"2 × 11^2 × 13"
3147,1.3346,"3 × 1049"
3148,1.75222,"2^2 × 787"
3149,1.03652,"47 × 67"
3150,3.07048,"2 × 3^2 × 5^2 × 7"
3151,1.05109,"23 × 137"
3152,1.94734,"2^4 × 197"
3153,1.3346,"3 × 1051"
3154,1.59797,"2 × 19 × 83"
3155,1.2019,"5 × 631"
3156,2.34221,"2^2 × 3 × 263"
3157,1.27716,"7 × 11 × 41"
3158,1.50095,"2 × 1579"
3159,1.61317,"3^5 × 13"
3160,2.27848,"2^3 × 5 × 79"
3161,1.04397,"29 × 109"
3162,2.18596,"2 × 3 × 17 × 31"
3163,1.00032,"3163"
3164,2.0177,"2^2 × 7 × 113"
3165,1.60758,"3 × 5 × 211"
3166,1.50095,"2 × 1583"
3167,1.00032,"3167"
3168,3.10227,"2^5 × 3^2 × 11"
3169,1.00032,"3169"
3170,1.80568,"2 × 5 × 317"
3171,1.5339,"3 × 7 × 151"
3172,1.91551,"2^2 × 13 × 61"
3173,1.05893,"19 × 167"
3174,2.09074,"2 × 3 × 23^2"
3175,1.24976,"5^2 × 127"
3176,1.87972,"2^3 × 397"
3177,1.44854,"3^2 × 353"
3178,1.72184,"2 × 7 × 227"
3179,1.15885,"11 × 17^2"
3180,2.85283,"2^2 × 3 × 5 × 53"
3181,1.00031,"3181"
3182,1.57637,"2 × 37 × 43"
3183,1.33459,"3 × 1061"
3184,1.94724,"2^4 × 199"
3185,1.5033,"5 × 7^2 × 13"
3186,2.25989,"2 × 3^3 × 59"
3187,1.00031,"3187"
3188,1.7522,"2^2 × 797"
3189,1.33459,"3 × 1063"
3190,2.03135,"2 × 5 × 11 × 29"
3191,1.00031,"3191"
3192,3.00752,"2^3 × 3 × 7 × 19"
3193,1.04228,"31 × 103"
3194,1.50094,"2 × 1597"
3195,1.75775,"3^2 × 5 × 71"
3196,1.89237,"2^2 × 17 × 47"
3197,1.05099,"23 × 139"
3198,2.20638,"2 × 3 × 13 × 41"
3199,1.14536,"7 × 457"
3200,2.47031,"2^7 × 5^2"
3201,1.46954,"3 × 11 × 97"
3202,1.50094,"2 × 1601"
3203,1.00031,"3203"
3204,2.55618,"2^2 × 3^2 × 89"
3205,1.20187,"5 × 641"
3206,1.72177,"2 × 7 × 229"
3207,1.33458,"3 × 1069"
3208,1.87968,"2^3 × 401"
3209,1.00031,"3209"
3210,2.42243,"2 × 3 × 5 × 107"
3211,1.13983,"13^2 × 19"
3212,1.93524,"2^2 × 11 × 73"
3213,1.79272,"3^3 × 7 × 17"
3214,1.50093,"2 × 1607"
3215,1.20187,"5 × 643"
3216,2.62189,"2^4 × 3 × 67"
3217,1.00031,"3217"
3218,1.50093,"2 × 1609"
3219,1.41659,"3 × 29 × 37"
3220,2.50435,"2^2 × 5 × 7 × 23"
3221,1.00031,"3221"
3222,2.17877,"2 × 3^2 × 179"
3223,1.09463,"11 × 293"
3224,2.08437,"2^3 × 13 × 31"
3225,1.69178,"3 × 5^2 × 43"
3226,1.50093,"2 × 1613"
3227,1.14534,"7 × 461"
3228,2.34201,"2^2 × 3 × 269"
3229,1.00031,"3229"
3230,2.00619,"2 × 5 × 17 × 19"
3231,1.44847,"3^2 × 359"
3232,1.98824,"2^5 × 101"
3233,1.03557,"53 × 61"
3234,2.53803,"2 × 3 × 7^2 × 11"
3235,1.20185,"5 × 647"
3236,1.75216,"2^2 × 809"
3237,1.4532,"3 × 13 × 83"
3238,1.50093,"2 × 1619"
3239,1.03736,"41 × 79"
3240,3.36111,"2^3 × 3^4 × 5"
3241,1.14533,"7 × 463"
3242,1.50093,"2 × 1621"
3243,1.42091,"3 × 23 × 47"
3244,1.75216,"2^2 × 811"
3245,1.33128,"5 × 11 × 59"
3246,2.0037,"2 × 3 × 541"
3247,1.06437,"17 × 191"
3248,2.29064,"2^4 × 7 × 29"
3249,1.52447,"3^2 × 19^2"
3250,2.016,"2 × 5^3 × 13"
3251,1.00031,"3251"
3252,2.34194,"2^2 × 3 × 271"
3253,1.00031,"3253"
3254,1.50092,"2 × 1627"
3255,1.88756,"3 × 5 × 7 × 31"
3256,2.10074,"2^3 × 11 × 37"
3257,1.00031,"3257"
3258,2.17864,"2 × 3^2 × 181"
3259,1.00031,"3259"
3260,2.11288,"2^2 × 5 × 163"
3261,1.33456,"3 × 1087"
3262,1.72164,"2 × 7 × 233"
3263,1.08121,"13 × 251"
3264,2.80147,"2^6 × 3 × 17"
3265,1.20184,"5 × 653"
3266,1.58726,"2 × 23 × 71"
3267,1.62841,"3^3 × 11^2"
3268,1.88494,"2^2 × 19 × 43"
3269,1.1453,"7 × 467"
3270,2.42202,"2 × 3 × 5 × 109"
3271,1.00031,"3271"
3272,1.87958,"2^3 × 409"
3273,1.33456,"3 × 1091"
3274,1.50092,"2 × 1637"
3275,1.24947,"5^2 × 131"
3276,3.11111,"2^2 × 3^2 × 7 × 13"
3277,1.04364,"29 × 113"
3278,1.64735,"2 × 11 × 149"
3279,1.33455,"3 × 1093"
3280,2.38171,"2^4 × 5 × 41"
3281,1.06431,"17 × 193"
3282,2.00366,"2 × 3 × 547"
3283,1.18063,"7^2 × 67"
3284,1.75213,"2^2 × 821"
3285,1.75708,"3^2 × 5 × 73"
3286,1.5776,"2 × 31 × 53"
3287,1.05872,"19 × 173"
3288,2.51825,"2^3 × 3 × 137"
3289,1.2259,"11 × 13 × 23"
3290,2.10091,"2 × 5 × 7 × 47"
3291,1.33455,"3 × 1097"
3292,1.75213,"2^2 × 823"
3293,1.03857,"37 × 89"
3294,2.25865,"2 × 3^3 × 61"
3295,1.20182,"5 × 659"
3296,1.98786,"2^5 × 103"
3297,1.53352,"3 × 7 × 157"
3298,1.60461,"2 × 17 × 97"
3299,1.0003,"3299"
3300,3.15636,"2^2 × 3 × 5^2 × 11"
3301,1.0003,"3301"
3302,1.6281,"2 × 13 × 127"
3303,1.44838,"3^2 × 367"
3304,2.17918,"2^3 × 7 × 59"
3305,1.20182,"5 × 661"
3306,2.17786,"2 × 3 × 19 × 29"
3307,1.0003,"3307"
3308,1.75212,"2^2 × 827"
3309,1.33454,"3 × 1103"
3310,1.80544,"2 × 5 × 331"
3311,1.27575,"7 × 11 × 43"
3312,2.92029,"2^4 × 3^2 × 23"
3313,1.0003,"3313"
3314,1.50091,"2 × 1657"
3315,1.82443,"3 × 5 × 13 × 17"
3316,1.75211,"2^2 × 829"
3317,1.04191,"31 × 107"
3318,2.31465,"2 × 3 × 7 × 79"
3319,1.0003,"3319"
3320,2.27711,"2^3 × 5 × 83"
3321,1.53026,"3^4 × 41"
3322,1.6472,"2 × 11 × 151"
3323,1.0003,"3323"
3324,2.34176,"2^2 × 3 × 277"
3325,1.49173,"5^2 × 7 × 19"
3326,1.5009,"2 × 1663"
3327,1.33454,"3 × 1109"
3328,2.14964,"2^8 × 13"
3329,1.0003,"3329"
3330,2.67027,"2 × 3^2 × 5 × 37"
3331,1.0003,"3331"
3332,2.15546,"2^2 × 7^2 × 17"
3333,1.46895,"3 × 11 × 101"
3334,1.5009,"2 × 1667"
3335,1.29535,"5 × 23 × 29"
3336,2.51799,"2^3 × 3 × 139"
3337,1.03566,"47 × 71"
3338,1.5009,"2 × 1669"
3339,1.68194,"3^2 × 7 × 53"
3340,2.11257,"2^2 × 5 × 167"
3341,1.08111,"13 × 257"
3342,2.00359,"2 × 3 × 557"
3343,1.0003,"3343"
3344,2.22488,"2^4 × 11 × 19"
3345,1.60717,"3 × 5 × 223"
3346,1.72146,"2 × 7 × 239"
3347,1.0003,"3347"
3348,2.67622,"2^2 × 3^3 × 31"
3349,1.0642,"17 × 197"
3350,1.88776,"2 × 5^2 × 67"
3351,1.33453,"3 × 1117"
3352,1.87947,"2^3 × 419"
3353,1.14524,"7 × 479"
3354,2.20394,"2 × 3 × 13 × 43"
3355,1.33055,"5 × 11 × 61"
3356,1.75209,"2^2 × 839"
3357,1.44832,"3^2 × 373"
3358,1.58666,"2 × 23 × 73"
3359,1.0003,"3359"
3360,3.6,"2^5 × 3 × 5 × 7"
3361,1.0003,"3361"
3362,1.53748,"2 × 41^2"
3363,1.4273,"3 × 19 × 59"
3364,1.81243,"2^2 × 29^2"
3365,1.20178,"5 × 673"
3366,2.50267,"2 × 3^2 × 11 × 17"
3367,1.26403,"7 × 13 × 37"
3368,1.87945,"2^3 × 421"
3369,1.33452,"3 × 1123"
3370,1.80534,"2 × 5 × 337"
3371,1.0003,"3371"
3372,2.34164,"2^2 × 3 × 281"
3373,1.0003,"3373"
3374,1.7214,"2 × 7 × 241"
3375,1.84889,"3^3 × 5^3"
3376,1.94668,"2^4 × 211"
3377,1.09446,"11 × 307"
3378,2.00355,"2 × 3 × 563"
3379,1.04173,"31 × 109"
3380,2.27396,"2^2 × 5 × 13^2"
3381,1.61846,"3 × 7^2 × 23"
3382,1.59669,"2 × 19 × 89"
3383,1.06414,"17 × 199"
3384,2.76596,"2^3 × 3^2 × 47"
3385,1.20177,"5 × 677"
3386,1.50089,"2 × 1693"
3387,1.33451,"3 × 1129"
3388,2.19835,"2^2 × 7 × 11^2"
3389,1.0003,"3389"
3390,2.42124,"2 × 3 × 5 × 113"
3391,1.00029,"3391"
3392,2.02182,"2^6 × 53"
3393,1.6092,"3^2 × 13 × 29"
3394,1.50088,"2 × 1697"
3395,1.38557,"5 × 7 × 97"
3396,2.34158,"2^2 × 3 × 283"
3397,1.03621,"43 × 79"
3398,1.50088,"2 × 1699"
3399,1.46867,"3 × 11 × 103"
3400,2.46176,"2^3 × 5^2 × 17"
3401,1.05851,"19 × 179"
3402,2.5679,"2 × 3^5 × 7"
3403,1.03673,"41 × 83"
3404,1.87544,"2^2 × 23 × 37"
3405,1.60705,"3 × 5 × 227"
3406,1.62772,"2 × 13 × 131"
3407,1.00029,"3407"
3408,2.61972,"2^4 × 3 × 71"
3409,1.1452,"7 × 487"
3410,2.02698,"2 × 5 × 11 × 31"
3411,1.44826,"3^2 × 379"
3412,1.75205,"2^2 × 853"
3413,1.00029,"3413"
3414,2.00351,"2 × 3 × 569"
3415,1.20176,"5 × 683"
3416,2.17799,"2^3 × 7 × 61"
3417,1.43284,"3 × 17 × 67"
3418,1.50088,"2 × 1709"
3419,1.08102,"13 × 263"
3420,3.19298,"2^2 × 3^2 × 5 × 19"
3421,1.09442,"11 × 311"
3422,1.57802,"2 × 29 × 59"
3423,1.53316,"3 × 7 × 163"
3424,1.98715,"2^5 × 107"
3425,1.24905,"5^2 × 137"
3426,2.0035,"2 × 3 × 571"
3427,1.05048,"23 × 149"
3428,1.75204,"2^2 × 857"
3429,1.49315,"3^3 × 127"
3430,2.09913,"2 × 5 × 7^3"
3431,1.03527,"47 × 73"
3432,2.93706,"2^3 × 3 × 11 × 13"
3433,1.00029,"3433"
3434,1.60396,"2 × 17 × 101"
3435,1.60699,"3 × 5 × 229"
3436,1.75204,"2^2 × 859"
3437,1.14518,"7 × 491"
3438,2.17801,"2 × 3^2 × 191"
3439,1.05845,"19 × 181"
3440,2.37907,"2^4 × 5 × 43"
3441,1.41354,"3 × 31 × 37"
3442,1.50087,"2 × 1721"
3443,1.09439,"11 × 313"
3444,2.73171,"2^2 × 3 × 7 × 41"
3445,1.31669,"5 × 13 × 53"
3446,1.50087,"2 × 1723"
3447,1.44822,"3^2 × 383"
3448,1.87935,"2^3 × 431"
3449,1.00029,"3449"
3450,2.58783,"2 × 3 × 5^2 × 23"
3451,1.25181,"7 × 17 × 29"
3452,1.75203,"2^2 × 863"
3453,1.33449,"3 × 1151"
3454,1.64679,"2 × 11 × 157"
3455,1.20174,"5 × 691"
3456,2.95139,"2^7 × 3^3"
3457,1.00029,"3457"
3458,1.94332,"2 × 7 × 13 × 19"
3459,1.33449,"3 × 1153"
3460,2.11214,"2^2 × 5 × 173"
3461,1.00029,"3461"
3462,2.00347,"2 × 3 × 577"
3463,1.00029,"3463"
3464,1.87933,"2^3 × 433"
3465,2.16104,"3^2 × 5 × 7 × 11"
3466,1.50087,"2 × 1733"
3467,1.00029,"3467"
3468,2.47866,"2^2 × 3 × 17^2"
3469,1.00029,"3469"
3470,1.80519,"2 × 5 × 347"
3471,1.45203,"3 × 13 × 89"
3472,2.28571,"2^4 × 7 × 31"
3473,1.05039,"23 × 151"
3474,2.17789,"2 × 3^2 × 193"
3475,1.24892,"5^2 × 139"
3476,1.93326,"2^2 × 11 × 79"
3477,1.42652,"3 × 19 × 61"
3478,1.57332,"2 × 37 × 47"
3479,1.17965,"7^2 × 71"
3480,3.10345,"2^3 × 3 × 5 × 29"
3481,1.01724,"59^2"
3482,1.50086,"2 × 1741"
3483,1.52857,"3^4 × 43"
3484,1.91274,"2^2 × 13 × 67"
3485,1.30158,"5 × 17 × 41"
3486,2.31325,"2 × 3 × 7 × 83"
3487,1.09435,"11 × 317"
3488,1.98681,"2^5 × 109"
3489,1.33448,"3 × 1163"
3490,1.80516,"2 × 5 × 349"
3491,1.00029,"3491"
3492,2.55384,"2^2 × 3^2 × 97"
3493,1.14515,"7 × 499"
3494,1.50086,"2 × 1747"
3495,1.60687,"3 × 5 × 233"
3496,2.0595,"2^3 × 19 × 23"
3497,1.08093,"13 × 269"
3498,2.22298,"2 × 3 × 11 × 53"
3499,1.00029,"3499"
3500,2.496,"2^2 × 5^3 × 7"
3501,1.44816,"3^2 × 389"
3502,1.60366,"2 × 17 × 103"
3503,1.04139,"31 × 113"
3504,2.61872,"2^4 × 3 × 73"
3505,1.20171,"5 × 701"
3506,1.50086,"2 × 1753"
3507,1.53293,"3 × 7 × 167"
3508,1.752,"2^2 × 877"
3509,1.13708,"11^2 × 29"
3510,2.87179,"2 × 3^3 × 5 × 13"
3511,1.00028,"3511"
3512,1.87927,"2^3 × 439"
3513,1.33447,"3 × 1171"
3514,1.72112,"2 × 7 × 251"
3515,1.2973,"5 × 19 × 37"
3516,2.3413,"2^2 × 3 × 293"
3517,1.00028,"3517"
3518,1.50085,"2 × 1759"
3519,1.59591,"3^2 × 17 × 23"
3520,2.59773,"2^6 × 5 × 11"
3521,1.14513,"7 × 503"
3522,2.00341,"2 × 3 × 587"
3523,1.0809,"13 × 271"
3524,1.75199,"2^2 × 881"
3525,1.68851,"3 × 5^2 × 47"
3526,1.57232,"2 × 41 × 43"
3527,1.00028,"3527"
3528,3.15051,"2^3 × 3^2 × 7^2"
3529,1.00028,"3529"
3530,1.8051,"2 × 5 × 353"
3531,1.46814,"3 × 11 × 107"
3532,1.75198,"2^2 × 883"
3533,1.00028,"3533"
3534,2.17317,"2 × 3 × 19 × 31"
3535,1.38501,"5 × 7 × 101"
3536,2.20928,"2^4 × 13 × 17"
3537,1.49279,"3^3 × 131"
3538,1.57716,"2 × 29 × 61"
3539,1.00028,"3539"
3540,2.84746,"2^2 × 3 × 5 × 59"
3541,1.00028,"3541"
3542,1.95144,"2 × 7 × 11 × 23"
3543,1.33446,"3 × 1181"
3544,1.87923,"2^3 × 443"
3545,1.20169,"5 × 709"
3546,2.17766,"2 × 3^2 × 197"
3547,1.00028,"3547"
3548,1.75197,"2^2 × 887"
3549,1.65004,"3 × 7 × 13^2"
3550,1.8862,"2 × 5^2 × 71"
3551,1.03407,"53 × 67"
3552,2.69595,"2^5 × 3 × 37"
3553,1.21587,"11 × 17 × 19"
3554,1.50084,"2 × 1777"
3555,1.75527,"3^2 × 5 × 79"
3556,2.01575,"2^2 × 7 × 127"
3557,1.00028,"3557"
3558,2.00337,"2 × 3 × 593"
3559,1.00028,"3559"
3560,2.27528,"2^3 × 5 × 89"
3561,1.33446,"3 × 1187"
3562,1.62718,"2 × 13 × 137"
3563,1.1451,"7 × 509"
3564,2.85185,"2^2 × 3^4 × 11"
3565,1.29257,"5 × 23 × 31"
3566,1.50084,"2 × 1783"
3567,1.41295,"3 × 29 × 41"
3568,1.94619,"2^4 × 223"
3569,1.03558,"43 × 83"
